route_id,service_id,trip_id
15,1125,1156702
15,116,1136683
15,116,1203805
15,116,1425694
15,116,177931
15,130,492028
15,130,619772
15,137,312195
15,137,429186
15,137,775655
15,137,951965
15,170,696164
15,19,1488770
15,208,187157
15,209,1104795
15,209,1162442
15,209,1231067
15,209,1246849
15,209,1526540
15,209,1567987
15,209,1648464
15,209,166072
15,209,1661727
15,209,1666540
15,209,531414
15,209,715497
15,209,717287
15,209,841403
15,209,960085
15,209,993839
15,256,425266
15,278,1249475
15,282,1050662
15,358,1234499
15,361,1207876
15,395,179356
15,402,1697
15,412,1179363
15,412,1284598
15,412,1289006
15,412,1435331
15,412,15401
15,412,162009
15,412,265949
15,412,466119
15,412,576293
15,412,587170
15,421,1321305
15,421,1446056
15,421,1504291
15,421,189249
15,421,296668
15,421,479522
15,429,617643
15,449,1341748
15,449,365586
15,46,1358705
15,467,303736
15,467,48331
15,536,1724414
15,544,1016799
15,544,1024611
15,544,330938
15,55,1281335
15,55,331815
15,55,366588
15,55,719771
15,555,423482
15,600,934162
15,606,1282337
15,623,800621
15,66,1721141
15,665,792160
15,671,206011
15,733,1632019
15,819,1017019
15,819,1075643
15,819,882882
15,827,936085
15,828,1235802
15,828,470655
15,85,851885
15,900,660165
15,937,1113071
15,937,1286781
15,96,258017
15,967,1067065
15,967,113506
15,967,1165945
15,967,1402962
15,967,1529810
15,967,253869
15,967,56869
15,97,749243
15,977,161281
15,977,639257
15,977,957833
15,981,1495971
15,982,1501557
16,1114,1462794
16,1114,536035
16,126,258950
16,132,140719
16,23,543758
16,361,307940
16,421,1173431
16,467,1675840
16,600,1676389
16,685,170933
16,707,1213169
16,796,1522791
16,797,1320758
16,797,1454556
16,827,757417
16,938,564220
16,950,1108723
17,1046,1021246
17,1101,1432475
17,1101,511522
17,1139,1480165
17,174,1332397
17,209,1515772
17,209,1621437
17,209,292097
17,219,1507597
17,335,1663603
17,335,810108
17,36,1391305
17,370,284428
17,412,1110425
17,412,305817
17,51,1592570
17,521,479811
17,521,88480
17,588,774366
17,647,867358
17,743,1593956
17,743,681285
17,80,855484
17,828,850453
17,833,687263
17,871,1459315
17,980,584702
18,1016,257031
18,1016,998664
18,1031,139325
18,1032,332508
18,1041,87363
18,1043,623581
18,1046,850004
18,1057,958495
18,1088,1713254
18,11,610979
18,1112,778557
18,1114,145982
18,1114,167575
18,1114,1675882
18,1125,1371999
18,186,1106795
18,186,154137
18,187,1347528
18,208,1452584
18,209,1105164
18,209,1115566
18,209,1175229
18,209,123904
18,209,1426879
18,209,1472761
18,209,1594720
18,209,1654724
18,209,1663086
18,209,1719695
18,209,284074
18,209,389885
18,209,624020
18,209,632170
18,218,300673
18,218,732881
18,224,1401746
18,23,681488
18,24,1681867
18,256,1451708
18,256,948343
18,259,1536292
18,265,492587
18,267,851221
18,335,421740
18,340,672882
18,371,1193730
18,371,712136
18,39,493379
18,412,1305738
18,412,1348305
18,412,510169
18,412,568247
18,421,1005364
18,421,1551088
18,424,645683
18,467,1682984
18,471,274052
18,520,1147105
18,539,793277
18,54,1249506
